,nose,leftEye,rightEye,leftEar,rightEar,leftShoulder,rightShoulder,leftElbow,rightElbow,leftWrist,rightWrist,leftHip,rightHip,leftKnee,rightKnee,leftAnkle,rightAnkle,length
30,446.96145657090165,455.06082004813527,446.3792621221443,469.67806040974995,432.2147828508805,478.1989080023801,424.7979047075246,507.3269329099386,387.46286827246115,487.805784772445,400.48073393097604,470.7695070808037,426.9042093580226,491.7452077879771,415.9878660204861,500.86153934473094,407.2348706045619,0.0
31,446.870783314131,455.72270822737585,446.065230801768,462.46741058213576,432.9619464335789,478.117129933781,426.1367648211135,516.1681144907075,381.7417134572634,497.4518039924429,397.1342434252531,476.00498386513425,427.1276891745217,492.0118534263849,414.44359993332387,500.6048243892494,407.74886200722045,0.0
32,447.4068966733754,456.28706838542604,445.46156091109077,461.7852257194349,432.447255291875,475.8178605509017,423.9452698751509,518.4401676807148,377.5348108980312,506.77322727787197,395.5870511875464,474.2271974288691,427.0204976550892,492.49624357181,413.03778933203415,499.35596210995544,407.27915464857534,0.0
33,444.8982748907353,454.9095254135699,444.7119814006925,467.51033448535304,431.50009132600644,474.24183090232634,424.7632411826419,502.8783290914051,371.4251731657167,512.771316233574,385.37447766421633,473.7467591511017,431.3326749759124,492.8274726584266,409.57483164091525,499.36784083917627,407.93768101957187,0.0
34,442.87019137287564,452.8873474211785,443.1799524995937,466.10030606455473,430.2632084431301,474.2901565982541,422.05487663643146,504.7971655745032,365.3773437318618,518.9249373686793,386.02988913367443,472.478827920038,429.4651257088422,492.18446502005366,408.5954928575264,499.88012259994895,407.2751983597233,0.0
35,442.048968787002,451.79047322379535,441.29292481012897,465.0839850098382,428.8928442582333,477.8536690857931,415.1948826238624,529.7418194752391,361.48727348973813,516.7315175026699,382.25332183611164,472.0345373281221,426.49315526545666,494.7296133509008,405.9742306033357,500.56643617808555,407.2237506203276,0.0
36,442.72637603895805,451.11468787001996,441.08204947892483,465.3026232783189,429.74134697425245,473.1029611391972,419.9960794207954,505.1276913511098,362.8054451340198,532.5028805782324,373.7893953365876,473.9335365918912,425.9785078255595,495.18824085615364,405.58664353074505,500.875066839391,406.98969530669575,0.0
37,440.9899430749675,449.6123061385587,439.36536973156865,462.3659802191679,427.43032945743465,474.8784094437802,421.5622705513443,535.8108760839409,363.5142809568862,530.2853230310585,372.094200553724,474.3463632433411,428.9201107847035,494.82123546401954,403.15464648945374,501.77094367425474,407.74690035725064,0.0
38,444.7851358444872,451.435463892581,435.8783199315971,462.334041510436,428.1307473260616,475.05622308286127,410.3515307580911,530.4859269072715,360.1611290714893,538.5185019505857,364.19575035129225,474.40299228254435,426.19956346713064,494.58737876404626,403.783081870908,501.279894529799,407.44286229670666,0.0
39,442.5356783590558,451.171583541258,437.43112028442204,465.1686692485838,427.54829712820975,477.23139361853407,412.58449242692467,530.7290789985374,357.9584121137282,539.8904087922548,361.65350291916735,473.6956256566041,427.4002905019502,495.11528026473115,401.2673800554885,496.38996708091975,406.8681872794391,0.0
40,441.61729152277,449.9003510383051,443.07555517505574,463.0640072418712,427.2849871109712,475.21995657797555,413.87043016272173,531.2311171918532,362.0966854917348,540.448043845915,355.1758225144816,472.83497281804307,427.3722302010297,496.6784500190089,400.15642231321976,496.15219932431455,407.4251775188928,0.0
41,442.67043228489507,451.5446823596246,441.09992062708955,464.1509572180738,429.2422294900109,472.946805911468,414.9068125573168,529.642931639174,361.20609368470235,537.4057492033688,350.49635548471167,469.8941996830888,428.52159485951574,496.21109439572115,397.1549332549278,496.1224596496854,405.6677200748166,0.0
42,443.2499461294461,452.21150833288596,439.25867610664994,462.5199438948157,429.7260557630973,475.01594362074695,414.97811077962484,529.493070831979,359.32244990945395,541.3412060673843,347.91332363905207,468.76535990971513,428.93758504564306,495.163274030983,394.9702877594493,502.3311811109886,406.13093507945274,0.0
43,442.04142282834556,452.37878762595193,437.1124259642648,461.98170020002846,427.24944274811656,475.71802589903973,410.6624563594098,526.6627962699085,367.6981939851441,542.1272114587929,348.1349846441714,472.46766134321604,430.6761231783772,490.93639175392366,398.15646167318675,502.19446145407693,406.0383804343962,0.0
44,441.66333316162473,449.76536380943537,435.21528700308494,464.42022224414933,426.09393228924824,476.08606789122723,415.76802314656277,529.7400401145176,361.8323171085624,537.6192697692236,345.92823453679307,470.529079125505,430.3707029844287,491.5243357960218,400.08838557205087,501.0121905254574,407.995717018887,0.0
45,441.5060978020814,452.3202401284477,437.3726965803626,464.22694326687,426.055905255662,477.2885174914243,415.7914949278244,529.6157569375116,368.7725000253935,536.3494265416048,351.2441386297943,468.1573592890248,428.44220177025534,493.1798418563684,398.78897543647844,500.83770706607544,407.84082659286344,0.0
46,444.71214940608166,451.9637231699248,436.2696316904689,464.4041270557874,426.67363522488506,476.915128914775,414.9312216318026,525.2591962658456,368.88168176251395,535.2516643643203,356.02661404886004,469.0024821719301,427.98535260544844,497.4139490453485,393.2499288981241,500.28141061405904,407.55328979038734,0.0
47,442.7341532600936,450.4561666004017,434.7518670930905,462.14924816568043,426.36209337707794,476.57359232342793,410.4278528176658,525.2240987837226,369.2371689228211,533.986842253233,358.4395605033433,467.348058283949,425.8178130514023,494.6918250618151,394.32474235546005,500.73165281389305,406.02433463970937,0.0
48,443.77129882086973,447.844873119428,433.7089058229863,464.22540401101645,424.7083591954315,478.9210217774889,413.49000066385935,521.6484557289249,377.80878211555654,538.5728370700514,357.2968579047148,466.4739527709417,427.57363601389824,496.04244351209894,393.21293574385624,500.8581588314334,406.2680927747072,0.0
49,444.42181432760844,448.43241721347397,436.4608289653444,464.1648744580296,425.19662774866794,469.08476468181186,415.5275115286613,520.4749591708361,373.7195350227526,540.4109221369162,358.52369651397663,469.8710952010587,427.81785123238416,501.08600542768505,393.01454654597245,495.2438077884124,406.2398107338802,0.0
50,444.3824180841092,450.6027149126753,436.06319013711783,461.9887625480301,425.6866035631472,475.6323088012514,414.5849074297107,519.428353614297,379.42700254261763,533.3721703902042,364.70037995971865,468.4230268231827,427.2660698401804,495.2628488526479,388.80142778733864,495.3526562354894,408.02220609531713,0.0
51,443.2070333358969,450.57171213680004,435.09049198779803,461.9436027674229,426.28187114381154,475.29824334834694,411.2186752704774,516.616979998607,379.1690571347105,531.6497383287722,363.57048046004365,467.5437036205366,428.58198599510706,496.30783897275205,388.73402157651725,494.98609364298443,407.23879628514464,0.0
52,441.97317727076177,447.78876680144583,432.86795073419944,462.57481295853455,421.9032085809807,474.75362225060655,415.66871563711635,517.7374058988438,379.1437849070307,530.4976733407507,362.65339141437596,469.24482008323275,428.74757911262685,493.38733463372375,389.2318521530809,499.66833922342244,407.41278048964523,0.0
53,442.40662573351017,447.4974474970689,432.5196830443429,463.2531214539753,424.41744868149556,477.39060287135493,415.79416192835544,517.7281064264488,388.50133270955195,531.375057679583,362.6114812116921,469.4876892180535,425.93241041163634,492.3129816607947,393.3520989609332,501.11415143175964,406.06676926407386,0.0
54,441.8674454256826,449.60754213148914,433.23556119230136,462.58031700553727,421.0244070792801,474.43910799975913,417.36089108426006,518.1569745317433,386.0650689180326,532.6590575718419,361.59345289573275,468.4330017180535,426.53551642997485,498.5731154919379,393.360887275231,493.7915855283015,405.79789092246705,0.0
55,441.5213760897451,449.88229692070837,433.2739000901425,461.85455208901664,420.59107288740364,474.97288798860774,417.6498324662048,518.7432861328125,385.51183533349683,532.9020675047014,362.0480523527466,469.44704687790215,427.1537959876776,498.94991825098094,393.4478385664556,494.0047700833778,406.11345945814566,0.0
56,442.41361122074665,450.03839569318524,433.95893560299015,461.740213878796,420.261893874646,474.9206175669519,416.2965830651293,518.7940223999931,384.35115683840434,534.3967345919333,361.3425902413401,471.2070250830006,427.15380959135285,498.8332531321102,393.47306318127204,493.8268142858905,406.0815653014502,0.0
57,441.3537379997446,449.43564949205694,433.13985219504826,461.9505732906166,422.73927549727784,474.90190333101407,413.3361498987161,518.2258621827986,384.4244779272207,531.8678950271493,357.07240134433334,468.5529167549394,425.9064321532115,498.93452705281277,393.759648406665,493.35739974635493,405.92324708935763,0.0
58,440.793059803933,449.54219619728303,431.4911921417554,461.74213097672936,422.7612345498526,474.10584482360207,413.2776384509513,517.3355791791942,383.6338214392471,536.1185340824666,357.42841224613727,469.1783362015927,427.63487363818143,493.2614162949538,390.3435968679624,501.0104098043683,405.2949021723437,0.0
59,441.0548911016728,447.42202532061145,431.85109437486216,460.4933203914013,423.22229303187106,473.69030151820647,411.5899494959022,517.5806044965407,373.27037567546785,534.6785734950345,361.483268567747,468.2568776554374,428.1535967391809,492.023974301025,390.4292204404834,498.32511505081607,405.4705548676127,0.0
60,442.2414322239506,450.805092368048,434.08332930985745,460.8043150313719,423.5629113751393,475.7458450748166,407.6378043232843,521.5704196062698,371.6349255135297,536.9613307369057,360.6450998836251,469.41068017287915,428.7032348723504,497.26690419892856,392.1017746266426,495.9204423516147,405.2008905736688,0.0
61,441.93519853022264,450.1696283076883,434.1035290671316,461.99326808527,422.2046741865365,472.96632990617456,413.3588795994933,522.8652609475123,370.71336766054515,538.5188631281633,356.22629967699436,471.14434070785546,428.865798111302,496.1726857790444,394.49857079787915,497.69526930833115,407.0231831339458,0.0
62,442.00372840461904,449.74091800502646,431.94969942452826,462.86637236777955,422.3915696392088,475.93680292500784,413.5062488935678,524.0231241620136,371.0811498225355,533.1015558795448,353.47100585211973,468.5712837570667,429.51372381836666,494.8533102095039,398.57506512532797,495.87291383105617,406.5046994576305,0.0
63,439.8740798474067,449.80461585397705,432.8121052666901,460.7019511161906,422.9860597698331,476.6354203472166,408.0968766687175,527.1676939557601,370.5016468609247,533.2659100423419,353.2832900978304,467.7978583643376,429.36045835135064,486.0698510633358,400.76085264934295,495.6894764326303,406.8674295547281,0.0
